brand,Country,Value,Glossier,,
Glossier,Peru,12%,Glossier,,
Rare Beauty,Peru,83%,Glossier,,
Rhode Beauty,Peru,5%,Glossier,,
Glossier,Ukraine,15%,Glossier,,
Rare Beauty,Ukraine,73%,Glossier,,
Milk Makeup,Ukraine,6%,Glossier,,
Rhode Beauty,Ukraine,6%,Glossier,,
Glossier,Pakistan,12%,Glossier,,
Rare Beauty,Pakistan,69%,Glossier,,
Milk Makeup,Pakistan,10%,Glossier,,
Rhode Beauty,Pakistan,9%,Glossier,,
Glossier,South Africa,22%,Glossier,,
Rare Beauty,South Africa,60%,Glossier,,
Milk Makeup,South Africa,6%,Glossier,,
Rhode Beauty,South Africa,12%,Glossier,,
Glossier,Taiwan,26%,Glossier,,
Rare Beauty,Taiwan,68%,Glossier,,
Rhode Beauty,Taiwan,6%,Glossier,,
Glossier,Vietnam,26%,Glossier,,
Rare Beauty,Vietnam,74%,Glossier,,
Glossier,Colombia,10%,Glossier,,
Rare Beauty,Colombia,83%,Glossier,,
Milk Makeup,Colombia,4%,Glossier,,
Rhode Beauty,Colombia,3%,Glossier,,
Glossier,Russia,20%,Glossier,,
Rare Beauty,Russia,74%,Glossier,,
Milk Makeup,Russia,3%,Glossier,,
Rhode Beauty,Russia,3%,Glossier,,
Glossier,India,15%,Glossier,,
Rare Beauty,India,73%,Glossier,,
Milk Makeup,India,6%,Glossier,,
Rhode Beauty,India,6%,Glossier,,
Glossier,Argentina,18%,Glossier,,
Rare Beauty,Argentina,74%,Glossier,,
Rhode Beauty,Argentina,8%,Glossier,,
Glossier,Indonesia,18%,Glossier,,
Rare Beauty,Indonesia,73%,Glossier,,
Milk Makeup,Indonesia,2%,Glossier,,
Rhode Beauty,Indonesia,7%,Glossier,,
Glossier,Brazil,7%,Glossier,,
Rare Beauty,Brazil,89%,Glossier,,
Milk Makeup,Brazil,1%,Glossier,,
Rhode Beauty,Brazil,3%,Glossier,,
Glossier,Japan,32%,Glossier,,
